Known As,Full Name,Best Position,Nationality,Club Name
E. Guevara,Eddie Guevara,CB,Ecuador,CS Emelec
S. Ben Seghir,Salim Ben Seghir,RW,France,Olympique de Marseille
M. Miranda,Matías Miranda,CAM,Argentina,Gimnasia y Esgrima La Plata
S. Farhan,Sultan Farhan,CDM,Saudi Arabia,Al Raed
E. Tellechea,Emiliano Tellechea,CDM,Uruguay,Montevideo Wanderers
Danilo Veiga,Danilo Filipe Melo Veiga,CB,Portugal,Gil Vicente FC
T. Sana,Tobias Sana,LW,Sweden,BK Häcken
A. Bejarano,Alejandro Bejarano,CM,Bolivia,Independiente Petrolero
F. Ojo,Funso Ojo,CDM,Belgium,Port Vale
K. Cabral,Kévin Cabral,RM,France,LA Galaxy
P. Sontheimer,Patrick Sontheimer,CM,Germany,Viktoria Köln
C. Makoun,Christian Makoun,CDM,Venezuela,New England Revolution
C. Omoigui,Cedric Omoigui,ST,Nigeria,Racing Santander
J. Caceres,Joel Caceres,RB,Venezuela,Hermanos Colmenarez
I. Vukotić,Ilija Vukotić,CM,Montenegro,Boavista FC
C. Abi,Charles Abi,ST,France,AS Saint-Étienne
S. Ngapandouetnbu,Simon Ngapandouetnbu,GK,France,Olympique de Marseille
L. Musonda,Lubambo Musonda,RM,Zambia,AC Horsens
A. Klynge,Anders Klynge,CM,Denmark,Silkeborg IF
F. Lo Celso,Francesco Lo Celso,CAM,Argentina,Rosario Central
J. Oosterwolde,Jayden Oosterwolde,LB,Netherlands,Parma
I. Latovlevici,Iasmin Latovlevici,LB,Romania,Campionii FC Arges
César,César Bernardo Dutra,GK,Brazil,Boavista FC
K. Pierie,Kik Pierie,CDM,Netherlands,Ajax
L. Dvali,Lasha Dvali,CB,Georgia,APOEL Nicosia FC
J. Gammelby,Jens Martin Gammelby,RB,Denmark,Brøndby IF
Kim Jin Gyu,Jin Gyu Kim,CAM,Korea Republic,Jeonbuk Hyundai Motors
J. Lewis,Jonathan Lewis,CAM,United States,Colorado Rapids
L. Mai,Lars Lukas Mai,CB,Germany,FC Lugano
Y. Ramadani,Ylber Ramadani,CDM,Albania,Aberdeen
S. Torres,Saúl Torres,RB,Bolivia,Club The Strongest
L. Delaurier-Chaubet,Logan Delaurier-Chaubet,LM,France,FC Girondins de Bordeaux
Lucas Medeirão,Lucas Luciano Medeirão Hoffman,CF,Brazil,América Futebol Clube
T. Bakinson,Tyreeq Bakinson,CDM,England,Sheffield Wednesday
M. Langer,Michael Langer,GK,Austria,FC Schalke 04
N. Celic,Nemanja Celic,CDM,Austria,LASK Linz
R. Bacchia,Renzo Bacchia,GK,Uruguay,Club Atlético Independiente
L. Morales,Lucas Nahuel Morales,RB,Uruguay,Cerro Largo Fútbol Club
G. Hernández,Gastón Hernández,CB,Argentina,San Lorenzo de Almagro
V. Thill,Vincent Thill,LM,Luxembourg,AIK
João Queirós,João Ricardo Pereira Queirós,CB,Portugal,GD Chaves
Chen Binbin,Binbin Chen,LM,China PR,Shanghai Port FC
M. Toye,Mason Toye,ST,United States,Club de Foot Montréal
D. Oyarzún,Diego Oyarzún,CB,Chile,CD Everton de Viña del Mar
D. Lewington,Dean Lewington,CDM,England,Milton Keynes Dons
M. Poletanović,Marko Poletanović,CM,Serbia,Zagłębie Lubin
D. Fofana,David Datro Fofana,ST,Côte d'Ivoire,Molde FK
G. Hauche,Guillermo Hauche,CAM,Argentina,General Caballero (JLM)
W. Caddy,Warren Caddy,ST,France,Paris FC
T. Parker,Tim Parker,CB,United States,Houston Dynamo
É. Youan,Élie Youan,ST,France,Hibernian
L. Schuler,Luca Schuler,ST,Germany,1. FC Magdeburg
T. Asta-Buruaga,Tomás Asta-Buruaga,CB,Chile,Universidad Católica
R. Saracho,Rodrigo Saracho,GK,Argentina,Barracas Central
M. Tagliamonte,Matias Tagliamonte,GK,Argentina,Racing Club
P. Jaroszyński,Paweł Jaroszyński,LWB,Poland,Cracovia
S. Kaikai,Sullay Kaikai,LW,Sierra Leone,Wycombe Wanderers
V. Taborda,Vicente Taborda,ST,Argentina,Platense
E. Garnås,Espen Bjørnsen Garnås,CB,Norway,Lillestrøm SK
L. Kruspzky,Lucas Kruspzky,LB,Argentina,Patronato
E. Jordanov,Edisson Jordanov,RB,Bulgaria,KVC Westerlo
M. Chrapek,Michał Chrapek,CM,Poland,Piast Gliwice
A. Zreľák,Adam Zreľák,ST,Slovakia,Warta Poznań
J. Kramer,Joris Kramer,CB,Netherlands,N.E.C. Nijmegen
R. Dimitrov,Radoslav Dimitrov,RB,Bulgaria,Sepsi OSK Sf. Gheorghe
B. Roux,Baptiste Roux,CB,France,En Avant de Guingamp
Warleson,Warleson Lisboa Oliveira,GK,Brazil,KSV Cercle Brugge
H. Mendyl,Hamza Mendyl,LB,Morocco,Oud-Heverlee Leuven
M. Steinmann,Matti Steinmann,CM,Germany,Brisbane Roar
E. Pereyra,Elías Pereyra,LWB,Argentina,Godoy Cruz
E. Huth,Elias Huth,ST,Germany,FC Erzgebirge Aue
K. Dempsey,Kyle Dempsey,CM,England,Bolton Wanderers
C. McGeehan,Cameron McGeehan,CAM,Northern Ireland,KV Oostende
Mateus Fernandes,Mateus Gonçalo Espanha Fernandes,CAM,Portugal,Sporting CP
N. Thomas,Nigel Thomas,RM,Netherlands,FC Paços de Ferreira
Zhang Chi,Chi Zhang,RB,China PR,Shandong Taishan
N. Diliberto,Noah Diliberto,CAM,France,Valenciennes FC
S. Román,Sergio Román,GK,Colombia,La Equidad
L. Pavez,Luis Pavez,LB,Chile,Unión Española
F. La Mantía,Francisco La Mantía,CB,Venezuela,Deportivo La Guaira FC
Javi Pérez,Javier Pérez Mateo,CM,Spain,Burgos CF
D. Čanađija,Dario Čanađija,CDM,Croatia,Aalesunds FK
A. Madibo,Assim Madibo,CDM,Qatar,Free agent
A. Manneh,Alasana Manneh,CAM,Gambia,Odense Boldklub
A. Leguizamón,Aníbal Leguizamón,CB,Argentina,CS Emelec
J. Hammar,Johan Hammar,CB,Sweden,BK Häcken
M. Gollner,Manfred Gollner,CB,Austria,TSV Egger Glas Hartberg
L. Del Pino Mago,Luis Del Pino Mago,CB,Venezuela,Club Atlético Banfield
D. Kother,Dominik Kother,RW,Germany,SV Waldhof Mannheim 07
T. Doumbia,Tongo Doumbia,CB,Mali,Western United FC
M. Jakoliš,Marin Jakoliš,ST,Croatia,Angers SCO
J. Pretell,Jesús Pretell,CDM,Peru,Club Sporting Cristal
Juanpe,Juan Pedro Jiménez Melero,RM,Spain,CD Lugo
J. Walton,Jack Walton,GK,England,Barnsley
A. Andersson,Adam Andersson,LB,Sweden,Randers FC
M. Enrique,Marcos Enrique,CDM,Argentina,Cerro Largo Fútbol Club
Filipe Nascimento,Filipe Guterres Nascimento,CAM,Portugal,Radomiak Radom
Luca Sangalli,Luca Sangalli Fuentes,CAM,Spain,FC Cartagena
J. Epazo,Jefferson Epazo,GK,Bolivia,Club Deportivo Jorge Wilstermann
O. Berber,Oğuzhan Berber,RB,Turkey,İstanbulspor
M. Cestor,Mike Cestor,CB,Congo DR,Campionii FC Arges
M. Malaeka,Mustafa Malaeka,GK,Saudi Arabia,Al Fateh
N. Weißhaupt,Noah Weißhaupt,RM,Germany,Sport-Club Freiburg
R. Tagir,Ravil Tagir,CB,Turkey,KVC Westerlo
Ramón Enríquez,Ramón Enríquez Rodríguez,CAM,Spain,Málaga CF
C. Evans,Ched Evans,ST,Wales,Preston North End
J. Marcinkowski,JT Marcinkowski,GK,United States,San Jose Earthquakes
R. Williams,Randell Williams,LM,England,Hull City
R. Curtis,Ronan Curtis,LM,Republic of Ireland,Portsmouth
A. Aseri,Abdulfatah Aseri,LW,Saudi Arabia,Al Nassr
Wenderson,Wenderson Oliviera,RM,Brazil,IFK Värnamo
L. Vilsvik,Lars Vilsvik,RB,Norway,Strømsgodset IF
B. Țîru,Bogdan Țîru,CB,Romania,Jagiellonia Białystok
M. Gillesphey,Macaulay Gillesphey,CB,England,Plymouth Argyle
S. Romero,Santiago Romero,CB,Uruguay,Liverpool Fútbol Club
E. Boateng,Emmanuel Boateng,LM,Ghana,New England Revolution
António Silva,António João Tavares Silva,CB,Portugal,SL Benfica
R. Giampaoli,Renzo Giampaoli,CB,Argentina,Rosenborg BK
G. François,Guillaume François,RWB,Belgium,Royale Union Saint-Gilloise
V. Demaku,Vesel Demaku,CDM,Austria,SK Sturm Graz
Ž. Majer,Žan Majer,CM,Slovenia,Urbs Reggina 1914
S. van Wermeskerken,Sai van Wermeskerken,RB,Japan,SC Cambuur
T. Galván,Tomás Galván,CAM,Argentina,Defensa y Justicia
C. Varela,Cristopher Varela,GK,Venezuela,Deportivo Táchira FC
Andre Shinyashiki,Andre Bava Shinyashiki,LM,Brazil,Charlotte FC
R. Kurzawa,Rafał Kurzawa,CAM,Poland,Pogoń Szczecin
R. Buess,Roman Buess,RM,Switzerland,FC Winterthur
V. Viola,Valentín Viola,ST,Argentina,Barracas Central
K. Rolón,Kevin Rolón,LWB,Uruguay,Montevideo Wanderers
G. Slonina,Gabriel Slonina,GK,United States,Chicago Fire Football Club
D. Potts,Dan Potts,CB,England,Luton Town
W. Bruin,Will Bruin,ST,United States,Seattle Sounders FC
A. Díaz,Alexander Díaz,ST,Argentina,Arsenal de Sarandí
Álex Petxa,Álexander Petxarroman,RWB,Spain,FC Andorra
Z. Valentin,Zarek Valentin,RB,Puerto Rico,Houston Dynamo
A. Richardson,Amir Richardson,CM,France,Le Havre AC
D. Méndez,Diego Méndez,GK,Bolivia,Royal Pari
Gu Cao,Cao Gu,CB,China PR,Henan Songshan Longmen FC
M. Cheukoua,Michael Cheukoua,ST,Cameroon,Austria Lustenau
M. Smith,Matt Smith,CAM,Wales,Milton Keynes Dons
W. Cevallos,Willian Cevallos,CAM,Ecuador,C.D. Universidad Católica del Ecuador
S. Prieto,Sebastián Prieto,LB,Argentina,Club Atlético Tigre
D. Dressel,Dennis Dressel,CM,Germany,F.C. Hansa Rostock
M. Proietti,Mattia Proietti,CDM,Italy,Ternana
S. Fraser,Scott Fraser,CAM,Scotland,Charlton Athletic
C. Robertson,Clark Robertson,CB,Scotland,Portsmouth
A. Schjelderup,Andreas Schjelderup,CAM,Norway,FC Nordsjælland
T. Ndicka Matam,Théo Ndicka Matam,LWB,France,KV Oostende
J. Sarmiento,Jeremy Sarmiento,CAM,Ecuador,Brighton & Hove Albion
F. Romero,Fernando Romero,ST,Paraguay,Club Cerro Porteño
J. Williams,Jordan Williams,RWB,England,Barnsley
D. Sorgić,Dejan Sorgić,ST,Serbia,FC Luzern
A. Albu,Alexandru Albu,CDM,Romania,Rapid București
D. Hernández,Daniel Hernández,CAM,Colombia,América de Cali
M. Lauritsen,Mads Lauritsen,CB,Denmark,Viborg FF
F. Queiroz,Facundo Queiroz,CB,Uruguay,Delfín Sporting Club
Ruan,Ruan Tressoldi Netto,CB,Brazil,U.S. Sassuolo Calcio
N. Patterson,Nathan Patterson,RB,Scotland,Everton
T. Tessmann,Tanner Tessmann,CM,United States,Venezia FC
O. Shevchenko,Oleksiy Shevchenko,GK,Ukraine,Shakhtar Donetsk
Rodrigues,Antônio Rodrigues,CB,Brazil,San Jose Earthquakes
A. Jasic,Adis Jasic,RB,Austria,RZ Pellets Wolfsberger AC
H. Dean,Harlee Dean,CB,England,Birmingham City
D. Hayashi,Daichi Hayashi,ST,Japan,Sint-Truidense VV
M. van Brederode,Myron van Brederode,RM,Netherlands,AZ Alkmaar
G. Espinoza,Gonzalo Espinoza,CM,Chile,Unión Española
Ricardo Matos,Ricardo Manuel Pinho Matos,ST,Portugal,Portimonense SC
Tang Xin,Xin Tang,LB,China PR,Chengdu Rongcheng F.C.
D. Udoh,Daniel Udoh,ST,Nigeria,Shrewsbury Town
K. Schulz,Kofi Schulz,LB,Germany,WSG Tirol
P. Weihrauch,Patrick Weihrauch,CAM,Germany,SG Dynamo Dresden
J. Stockley,Jayden Stockley,ST,England,Charlton Athletic
J. Tucker,Jack Tucker,CB,England,Milton Keynes Dons
J. Lokilo,Jason Lokilo,CAM,Congo DR,Sparta Rotterdam
Diego Alende,Diego Alende López,CB,Spain,FC Andorra
Matheus Índio,Matheus Salgueiro Pains,CDM,Brazil,Vitória de Guimarães
R. Phillips,Ricardo Phillips,LM,Panama,9 de Octubre
M. Rundić,Milan Rundić,CB,Serbia,Raków Częstochowa
K. Guessoum,Kelyan Guessoum,CB,France,Nîmes Olympique
E. Moore,Elliott Moore,CB,England,Oxford United
T. Heintz,Tobias Heintz,CAM,Norway,Sarpsborg 08 FF
C. Winchester,Carl Winchester,RB,Northern Ireland,Shrewsbury Town
C. McGrandles,Conor McGrandles,CDM,Scotland,Charlton Athletic
C. Burgess,Cameron Burgess,CB,Australia,Ipswich Town
J. Brea,Julián Brea,RM,Argentina,Club Atlético Sarmiento
L. Weinkauf,Leo Weinkauf,GK,Germany,Hannover 96
N. Hämäläinen,Niko Hämäläinen,LB,Finland,Queens Park Rangers
D. Kiki,David Kiki,LB,Benin,FC Farul Constanța
R. Zekhnini,Rafik Zekhnini,RM,Norway,Molde FK
Aldair Neves,Aldair Neves Paulo Faustino,RB,Portugal,SD Ponferradina
D. Horgan,Daryl Horgan,RM,Republic of Ireland,Wycombe Wanderers
J. Ahlmann,Jakob Ahlmann,LB,Denmark,Aalborg BK
B. Kapacak,Burak Kapacak,RM,Turkey,Fatih Karagümrük S.K.
M. Nottingham,Michael Nottingham,CB,Saint Kitts and Nevis,Accrington Stanley
N. Ueda,Naomichi Ueda,CB,Japan,Nîmes Olympique
Kayky,Kayky da Silva Chagas,LM,Brazil,FC Paços de Ferreira
Campuzano,Víctor Campuzano Bonilla,ST,Spain,Real Sporting de Gijón
L. Ndenbe,Logan Ndenbe,LWB,Belgium,Sporting Kansas City
A. Palmer,Alex Palmer,GK,England,West Bromwich Albion
P. Vlachodimos,Panagiotis Vlachodimos,LM,Greece,SG Dynamo Dresden
K. Eriksen,Kristian Eriksen,CAM,Norway,Molde FK
Pablo Gozálbez,Pablo Gozálbez Gilabert,CAM,Spain,Valencia CF
C. Ribera,Carlos Ribera,CAM,Bolivia,Royal Pari
D. van Kaam,Daniël van Kaam,CM,Netherlands,SC Cambuur
K. Lulić,Karlo Lulić,CAM,Croatia,Frosinone
K. Kerschbaumer,Konstantin Kerschbaumer,CM,Austria,RZ Pellets Wolfsberger AC
A. Verschueren,Arno Verschueren,CM,Belgium,Sparta Rotterdam
G. Karlen,Gaëtan Karlen,ST,Switzerland,FC Sion
M. Eisa,Mo Eisa,ST,Sudan,Milton Keynes Dons
D. Butler,Dan Butler,LWB,England,Peterborough United
J. Shipley,Jordan Shipley,CAM,Republic of Ireland,Shrewsbury Town
M. Maloča,Mario Maloča,CB,Croatia,Lechia Gdańsk
Bruno Ramires,Bruno Edgar Silva Almeida,CDM,Brazil,Bengaluru FC
T. Doyle,Tommy Doyle,CM,England,Sheffield United
J. Kappelhof,Johan Kappelhof,CB,Netherlands,Real Salt Lake
O. Bic,Ovidiu Bic,CDM,Romania,Universitatea Cluj
F. Ananou,Frederic Ananou,CB,Togo,F.C. Hansa Rostock
M. Rodriguez,Memo Rodriguez,CAM,United States,Houston Dynamo
R. Castro,Raúl Castro,CDM,Bolivia,Club Deportivo Jorge Wilstermann
S. Ben Youssef,Syam Ben Youssef,CB,Tunisia,US Quevilly Rouen Métropole
Nélson da Luz,Nélson Conceição da Luz,LM,Angola,Vitória de Guimarães
N. Amarilla,Nelson Amarilla,CB,Paraguay,Club Deportivo Guabirá
Enrique Clemente,Enrique Clemente Maza,CB,Spain,Unión Deportiva Las Palmas
N. Bürgy,Nicolas Bürgy,CB,Switzerland,Viborg FF
E. Taşdemir,Emre Taşdemir,LM,Turkey,Galatasaray SK
L. Suárez,Lucas Suárez,CB,Argentina,Club Atlético Talleres
S. Rapp,Simone Rapp,ST,Switzerland,Karlsruher SC
O. Dale,Owen Dale,RM,England,Portsmouth
J. Champness,Joseph Champness,LW,New Zealand,Free agent
Hugo Novoa,Hugo Novoa Ramos,ST,Spain,RB Leipzig
Matheus Pereira,Matheus Pereira de Souza,LB,Brazil,FC Vizela
H. Keïta,Habib Keïta,CAM,Mali,KV Kortrijk
D. Thomalla,Denis Thomalla,CF,Germany,1. FC Heidenheim 1846
S. Ltaief,Sayfallah Ltaief,RM,Switzerland,FC Basel 1893
Lucas Barros,Lucas Barros da Cunha,LB,Brazil,Gil Vicente FC
V. Mendoza,Víctor Mendoza,GK,Ecuador,Barcelona Sporting Club
P. McGinn,Paul McGinn,CB,Scotland,Motherwell
B. Vides,Bruno Vides,ST,Argentina,Club Atlético Huracán
D. Van den Buijs,Dario Van den Buijs,CB,Belgium,RKC Waalwijk
P. Szymiński,Przemysław Szymiński,CB,Poland,Frosinone
T. Lowery,Tom Lowery,CAM,England,Portsmouth
R. Espejord,Runar Espejord,ST,Norway,FK Bodø/Glimt
E. Friberg,Erik Friberg,CM,Sweden,BK Häcken
Y. Mosquera,Yuber Mosquera,CB,Colombia,C.D. Universidad Católica del Ecuador
K. Løkberg,Kristoffer Løkberg,CM,Norway,Viking FK
Ž. Rogelj,Žan Rogelj,RWB,Slovenia,WSG Tirol
N. Hansen,Niko Hansen,RM,Denmark,Minnesota United FC
V. Vermeij,Vincent Vermeij,ST,Netherlands,SC Freiburg II
K. Kabran,Kevin Kabran,RW,Sweden,Viking FK
D. Haruț,Denis Haruț,RB,Romania,FCSB (Steaua)
Z. Touré,Zargo Touré,CB,Senegal,Dijon FCO
Gilson Tavares,Gilson Benchimol Tavares,CF,Cape Verde Islands,Estoril Praia
E. Linthorst,Evert Linthorst,CAM,Netherlands,Go Ahead Eagles
E. Roldán,Enzo Roldán,CAM,Argentina,Unión de Santa Fe
D. Aceves,Daniel Aceves,LB,Mexico,Real Oviedo
J. Valdez Chamorro,Jorge Valdez Chamorro,RM,Argentina,Patronato
Sergio Molina,Sergio Molina Beloqui,CDM,Spain,FC Andorra
A. Layouni,Amor Layouni,RW,Tunisia,Vålerenga Fotball
H. Jimenez,Hector Jimenez,RB,United States,Austin FC
A. Florenzi,Aldo Florenzi,CAM,Italy,Cosenza
H. Sylla,Habib Sylla,RB,Côte d'Ivoire,GD Chaves
S. Humphrys,Stephen Humphrys,ST,England,Heart of Midlothian
J. Vlak,Jari Vlak,CM,Netherlands,FC Emmen
C. Wright,Callum Wright,CAM,England,Blackpool
H. Tombakti,Hassan Tombakti,CB,Saudi Arabia,Al Shabab
R. Jönsson,Rasmus Jönsson,CF,Sweden,Helsingborgs IF
B. Bodin,Billy Bodin,RW,Wales,Oxford United
D. Rrudhani,Donat Rrudhani,LM,Kosovo,BSC Young Boys
E. Moubarik,El Mehdi Moubarik,CDM,Morocco,Al Ain FC
E. Villar,Emiliano Villar,ST,Uruguay,Cerro Largo Fútbol Club
Robson,Robson Leandro Dos Santos,RB,Brazil,Club Deportivo Jorge Wilstermann
Go Moo Yol,Moo Yol Go,ST,Korea Republic,Gangwon FC
O. Kakabadze,Otar Kakabadze,RWB,Georgia,Cracovia
L. Bogdan,Luka Bogdan,CB,Croatia,Ternana
F. Bednarek,Filip Bednarek,GK,Poland,Lech Poznań
J. Bagan,Joel Bagan,LB,Republic of Ireland,Cardiff City
R. Bouhenna,Rachid Bouhenna,CB,Algeria,FCSB (Steaua)
A. Țigănașu,Alexandru Țigănașu,LB,Romania,FC Botoşani
D. Jones,Derrick Jones,CDM,United States,Charlotte FC
S. Guerrero,Sebastián Guerrero,ST,Uruguay,Platense
J. Grot,Jay-Roy Grot,ST,Netherlands,Viborg FF
A. Rudko,Artur Rudko,GK,Ukraine,Lech Poznań
M. Mangraviti,Massimiliano Mangraviti,CB,Italy,Brescia
N. Lemaître,Nicolas Lemaître,GK,France,US Quevilly Rouen Métropole
M. Mijatović,Milan Mijatović,GK,Montenegro,Al Adalah
G. Wagner,Guillermo Wagner,CM,Uruguay,Montevideo Wanderers
J. Lindsey,Jaylin Lindsey,RB,United States,Charlotte FC
D. Badji,Dominique Badji,ST,Senegal,FC Cincinnati
Clavería,Pablo Clavería Herraíz,CDM,Spain,CD Lugo
T. Walker,Tyler Walker,ST,England,Coventry City
Wu Xinghan,Xinghan Wu,LM,China PR,Shandong Taishan
D. Mitov Nilsson,David Mitov Nilsson,GK,North Macedonia,IK Sirius
M. Akliouche,Maghnes Akliouche,CAM,France,AS Monaco
D. Nedelcu,Dragoș Nedelcu,CDM,Romania,FC Farul Constanța
M. Cavalleri,Matias Cavalleri,RM,Chile,Unión La Calera
Yin Hongbo,Hongbo Yin,RM,China PR,Meizhou Hakka
D. Gugganig,David Gugganig,CB,Austria,RZ Pellets Wolfsberger AC
Hu Rentian,Rentian Hu,RW,China PR,Wuhan FC
Nazinho,Flávio B. J. Nazinho,LWB,Portugal,Sporting CP
M. Svoboda,Michael Svoboda,CB,Austria,Venezia FC
I. Larie,Ionuț Larie,CB,Romania,FC Farul Constanța
A. Engin,Ahmet Engin,RM,Turkey,Kasimpaşa SK
D. Cavaré,Dimitri Cavaré,CB,France,FC Sion
H. Kadish,Hassan Kadish,LB,Saudi Arabia,Al Taawoun
P. Otele,Philip Otele,RM,Nigeria,AFC UTA Arad
F. Jensen,Fredrik Oldrup Jensen,CDM,Norway,Vålerenga Fotball
N. De Medina,Nathan De Medina,CB,Belgium,Eintracht Braunschweig
D. Franke,Dominik Franke,LB,Germany,FC Ingolstadt 04
O. Edvardsen,Oliver Valaker Edvardsen,LM,Norway,Go Ahead Eagles
R. Lopes,Roberto Lopes,CB,Cape Verde Islands,Shamrock Rovers
H. Kane,Herbie Kane,CM,England,Barnsley
R. Neshcheret,Ruslan Neshcheret,GK,Ukraine,Dynamo Kyiv
A. Musaba,Anthony Musaba,ST,Netherlands,FC Metz
M. Palomino,Mario Palomino,CM,Peru,Sport Boys
M. Mbaye,Mamadou Mbaye,CB,Senegal,Cádiz CF
I. Marconi,Ivan Marconi,CB,Italy,Palermo
H. Özmert,Hakan Özmert,CM,Turkey,Antalyaspor
Z. Brault-Guillard,Zachary Brault-Guillard,RM,Canada,Club de Foot Montréal
A. Albanese,Alessandro Albanese,CAM,Belgium,KV Oostende
Dani Jiménez,Daniel Jiménez López,GK,Spain,CD Leganés
D. Saffadi,Diego Saffadi,ST,Peru,Sport Boys
O. Diakhité,Oumar Diakhité,CB,Senegal,SV Sandhausen
Andoni López,Andoni López Saratxo,LB,Spain,CD Tenerife
A. Blanco,Alexis Blanco,ST,Argentina,Sport Boys
R. Edwards,Ronnie Edwards,CB,England,Peterborough United
A. Veliz,Alejo Veliz,ST,Argentina,Rosario Central
R. Coly,Racine Coly,LB,Senegal,Estoril Praia
R. Schofield,Ryan Schofield,GK,England,Hibernian
J. Bornstein,Jonathan Bornstein,CB,United States,Chicago Fire Football Club
D. Reasco,Djorkaeff Reasco,ST,Ecuador,Newell's Old Boys
A. Yıldırım,Aygün Yıldırım,RM,Germany,SSV Jahn Regensburg
D. Gissi,Dylan Gissi,CB,Switzerland,Club Atlético Banfield
A. Katránis,Aléxandros Katránis,LWB,Greece,Piast Gliwice
Vasco Fernandes,Vasco Herculano Mango Fernandes,CB,Portugal,Casa Pia
K. Luckassen,Kevin Luckassen,ST,Netherlands,Rapid București
L. Evans,Lee Evans,CDM,Wales,Ipswich Town
A. Nalić,Adi Nalić,CAM,Bosnia and Herzegovina,Malmö FF
J. Boller,Jan Boller,CB,Germany,LASK Linz
C. Wickham,Connor Wickham,ST,England,Forest Green Rovers
Álex Martín,José Alejandro Martín Valerón,CB,Spain,CD Mirandés
D. Hanslik,Daniel Hanslik,ST,Germany,1. FC Kaiserslautern
Ezkieta,Jokin Ezkieta Mendiburu,GK,Spain,Racing Santander
S. Quiroga,Sergio Quiroga,RM,Argentina,Club Atlético Sarmiento
Kim Tae Hwan,Tae Hwan Kim,RWB,Korea Republic,Suwon Samsung Bluewings
B. Okoh,Bryan Okoh,CB,Switzerland,FC Red Bull Salzburg
G. Benítez,Gabriel Benítez,LB,Venezuela,Deportivo Táchira FC
R. Vodišek,Rok Vodišek,GK,Slovenia,Genoa
N. Alioui,Nabil Alioui,CAM,France,Le Havre AC
D. Michalski,Damian Michalski,CB,Poland,SpVgg Greuther Fürth
X. Kouassi,Xavier Kouassi,CDM,Côte d'Ivoire,Pau FC
C. Gustafsson,Carl Gustafsson,CM,Sweden,Kalmar FF
R. Solís,Renato Solís,GK,Peru,Club Sporting Cristal
N. Lomb,Niklas Lomb,GK,Germany,Bayer 04 Leverkusen
T. Carranza,Tarek Carranza,CM,Peru,Sport Boys
A. Diop,Amidou Diop,CDM,Senegal,Kristiansund BK
Zito Luvumbo,Zito André Sebastião Luvumbo,LM,Angola,Cagliari
B. Folami,Ben Folami,RM,Australia,Melbourne Victory
A. Walke,Alexander Walke,GK,Germany,FC Red Bull Salzburg
M. Silveira,Mauro Silveira,GK,Uruguay,Montevideo Wanderers
L. Pintor,Lenny Pintor,RW,France,AS Saint-Étienne
B. Halloran,Ben Halloran,RM,Australia,Adelaide United
S. Pettinari,Stefano Pettinari,ST,Italy,Ternana
A. Uludağ,Alper Uludağ,LB,Turkey,GZT Giresunspor
M. Paluli,Murat Paluli,RB,Turkey,Demir Grup Sivasspor
M. Azarkan,Marouan Azarkan,LM,Netherlands,Excelsior
P. Gartler,Paul Gartler,GK,Austria,SK Rapid Wien
M. Jacobs,Michael Jacobs,LM,England,Portsmouth
J. Navas,Julián Navas,RB,Argentina,Arsenal de Sarandí
M. Farfan,Marco Farfan,LB,United States,FC Dallas
D. Albu,Dragoș Albu,CM,Romania,FC U Craiova 1948
E. Giménez,Enzo Giménez,RM,Paraguay,Club Cerro Porteño
D. Solomons,Dillan Solomons,RB,South Africa,Kaizer Chiefs
Urko González,Urko González de Zárate,CB,Spain,Real Sociedad
B. Verbruggen,Bart Verbruggen,GK,Netherlands,RSC Anderlecht
Arnau,Arnau Puigmal Martínez,CAM,Spain,Unión Deportiva Almería
S. Goss,Sean Goss,CM,England,Motherwell
M. Lundemo,Marius Lundemo,CM,Norway,Lillestrøm SK
O. Bozanic,Oliver Bozanic,CDM,Australia,Western Sydney Wanderers
A. Tofan,Andrei Tofan,RWB,Romania,Campionii FC Arges
S. Campo,Samuele Campo,CAM,Switzerland,FC Luzern
Beñat Prados,Beñat Prados Díaz,CAM,Spain,CD Mirandés
N. Djurasek,Neven Djurasek,CAM,Croatia,Shakhtar Donetsk
T. Richards,Taylor Richards,CAM,England,Queens Park Rangers
Carreira,Sergio Carreira Vilariño,RB,Spain,Villarreal Club de Fútbol B
I. Vetokele,Igor Vetokele,RW,Angola,KVC Westerlo
F. Reynero,Felipe Reynero,RW,Chile,Deportivo Ñublense
Z. Kwinika,Zitha Kwinika,CB,South Africa,Kaizer Chiefs
V. Kulach,Vladyslav Kulach,ST,Ukraine,Dynamo Kyiv
O. Käuper,Ole Käuper,CM,Germany,SV Meppen
J. van den Bergh,Johannes van den Bergh,LWB,Germany,Holstein Kiel
J. Magennis,Josh Magennis,ST,Northern Ireland,Wigan Athletic
G. Tanner,George Tanner,RWB,England,Bristol City
F. Pacheco,Fernando Pacheco,RM,Peru,FC Emmen
De La Fuente,Adrián De La Fuente,CB,Spain,Villarreal Club de Fútbol B
N. Devlin,Nicky Devlin,RB,Scotland,Livingston FC
O. Lebedenko,Orest Lebedenko,LB,Ukraine,CD Lugo
S. Mulattieri,Samuele Mulattieri,ST,Italy,Frosinone
